ZCTA5CE20,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,RegionID,SizeRank,RegionType,StateName,State,City,Metro,CountyName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
60046,60046.0,B5,G6350,S,59453114.0,8344511.0,42.415962,-88.0653509,84309.0,2578.0,zip,IL,IL,Lindenhurst,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,162295.8384548735,173438.7946658047,186053.67572193683,199457.82196536983,211348.491924359,221990.0240374729,232981.4228294361,234990.01241285852,221687.82548802858,198716.42982224099,187297.66672720367,170344.69053761868,163619.4768831935,169840.3800269064,186610.50362648573,192740.99436199342,200263.42182880407,205620.86810728486,210483.73086009533,212227.5427512408,218712.06200537176,247359.60391791002,277719.082538897,291029.3197735801,310430.04394484166,327869.86803979735,336534.060299542
60073,60073.0,B5,G6350,S,47840159.0,2249593.0,42.3544581,-88.1024214,84329.0,625.0,zip,IL,IL,Round Lake,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,112302.88121066142,119625.05503696133,126505.26873923941,134273.21679928876,142456.63046282766,151387.7831122165,158503.3758870779,159761.81276908683,147722.11637909725,126308.65488387934,114309.18545086226,98486.88683947058,92952.60411024098,98693.47181669444,114336.963738265,125004.17003992117,137822.53482411624,148785.8322082341,157163.0738105305,161645.87481460083,168203.97773006468,189013.41561433408,211133.23568487316,222925.8629655999,242487.99780804393,256802.60481293057,263541.571002702
60030,60030.0,B5,G6350,S,69307835.0,3464881.0,42.3356353,-88.0467818,84295.0,1918.0,zip,IL,IL,Grayslake,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,162669.51475898284,174761.74461673517,189291.12095939458,203197.25010771505,215345.38396443342,225829.40648938876,234138.11336538932,235063.83950050292,221390.2607329831,201614.30104885635,191949.59468352143,171208.41888350726,163496.90348685943,173566.8234643019,190589.19293969058,196452.74176837326,206124.63374810075,211956.7603256905,217721.48851174407,220269.41633607386,226362.12611007167,252135.83917835657,278973.14163408004,290631.3089143484,309439.8528596114,325535.1695748228,335410.921578357
60048,60048.0,B5,G6350,S,73548813.0,1763630.0,42.2926063,-87.9453173,84311.0,3069.0,zip,IL,IL,Libertyville,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,277485.8738987156,305906.69446601806,339417.65803059016,363535.04936847783,387432.96138048504,416666.00192660413,442638.0384768149,451571.1782285574,427637.8032175297,389598.26246530743,379762.3606147741,355876.6112194247,344270.84915972775,371609.694089656,402228.978334575,413574.87082997925,420379.04472601233,421686.8194042553,423815.7622978578,417278.664239446,409334.1763472327,445198.62990483054,481983.4205860908,497963.5355514805,528822.5471023669,565176.0664004335,587976.580148696
60060,60060.0,B5,G6350,S,60152520.0,3372692.0,42.2701251,-88.0393272,84318.0,2036.0,zip,IL,IL,Mundelein,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,179478.27927629626,195386.16983637158,211935.9224367711,227019.17070700074,241206.75460631828,254605.77318616226,266214.11263676,266938.02844793635,249929.23920320626,221711.77993320476,208500.82614293692,187708.1667804031,180585.70029479326,191927.35135536117,210296.10476501498,219372.767679716,230106.08052464842,238637.5071976309,243873.7593001212,245529.5433343544,252130.17974374525,279336.68482860556,305934.7643003356,318555.24568548956,339907.62366718164,358751.95427239133,372591.212628567
60084,60084.0,B5,G6350,S,36377868.0,2501040.0,42.2690023,-88.1390938,84339.0,7450.0,zip,IL,IL,Wauconda,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,163545.63880916758,173932.79901856458,185259.21371830266,198192.62585357868,209678.76133783368,222884.3354849571,235584.6962301345,237577.57534897132,223835.62627446392,200082.19812687451,188732.6882419635,170501.99315802183,165367.67579262969,174385.217476206,189394.70752561043,196740.06659913692,205136.98677447377,211143.33890873843,217233.64614478833,221284.75240313626,226880.04613428473,250315.47189033093,277648.29102462897,290399.19896657526,309487.561957404,327877.5023761172,340940.789312985
60015,60015.0,B5,G6350,S,35308758.0,465214.0,42.1736811,-87.8783621,84284.0,3896.0,zip,IL,IL,Deerfield,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,348113.38400594,386815.5408650614,413925.5553603785,444101.5744559541,477854.79259979416,517665.80273851263,549106.156731011,557279.8362256343,519129.32581675117,462976.9840250665,433699.0622007007,394602.27605920774,386013.2692805591,421359.9083362201,461042.12698298966,475029.7200813219,479025.85368082736,477945.82594896836,468459.32623517927,453520.1486974272,439057.6812030279,481767.5410640601,525852.6373821871,554314.9787262734,604039.167666081,648990.0911608884,674698.977870995
60045,60045.0,B5,G6350,S,55196011.0,4103225.0,42.2359973,-87.864777,84308.0,5841.0,zip,IL,IL,Lake Forest,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,615212.815745947,669450.8208842792,717948.9107065955,761355.3526268568,812750.8282486512,869650.5302850483,915391.9390944884,929274.9143278318,886726.132532454,792400.2531814188,743592.0517000285,690395.1336331359,668468.7018639095,720905.6827596392,777945.945225263,797857.0768957635,796233.26131052,775157.426770969,757111.1783276041,730214.1962132991,696135.2384425931,778744.4600946116,880078.5921245547,919599.0533837205,980191.8442973862,1049538.3280007376,1106992.9879509
60035,60035.0,B5,G6350,S,32806321.0,6827119.0,42.1859677,-87.8059389,84299.0,3396.0,zip,IL,IL,Highland Park,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,349699.35270025843,386133.15084838535,413471.2146297511,444818.854059361,473896.8170570373,513404.50799328944,544377.6109689944,555940.0169625981,523474.2255115294,464828.3645457143,433818.0714118777,398421.2857487663,398088.59808527486,442903.0664919299,489431.18928135297,506192.7475943112,508876.8696871507,500897.8963906784,490373.5952252683,478274.29607974115,462960.51491296367,514455.32488952886,578917.7769509614,611597.8896095857,654432.3778250072,701862.3953447322,725662.443183397
60040,60040.0,B5,G6350,S,1982592.0,0.0,42.2065246,-87.8128182,84303.0,13394.0,zip,IL,IL,Highwood,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,220831.5041652762,247270.51850962767,272262.82909939653,295676.8959419524,315170.248231383,340008.48282073165,361107.44138173823,371664.03461290343,343508.5077412157,301510.4510033967,279339.3917108642,255271.53628283227,245216.92269278993,266183.0685744527,283888.82354843616,294222.1425166842,303056.87565367843,304279.0152220226,298998.2554091408,297285.39425127365,295401.38702356094,326432.5093721775,357718.4406640832,377713.9014553489,409715.2219058917,428171.32348662225,449343.323999728
