scraped_city,state,facility,operator,street,zip_code,city_in_desc
Aurora,IL,Project Cardinal - Building 5,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 11,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 4,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 8,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 10,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 14,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 2,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 12,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,Project Cardinal - Building 6,Pioneer Development,Route 47 & Galena Rd,60554,Yorkville
Aurora,IL,CyrusOne Yorkville Campus,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Aurora,IL,Plano Skies DC7,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC2,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC4,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC6,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC5,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC3,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,Plano Skies DC1,Savion Renewable Energy,Rock Creek Rd,60545,Plano
Aurora,IL,CyrusOne Yorkville - Building 7,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Aurora,IL,CyrusOne Yorkville - Building 6,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Aurora,IL,CyrusOne Yorkville - Building 5,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Aurora,IL,CyrusOne Yorkville - Building 3,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Aurora,IL,CyrusOne Yorkville - Building 2,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Aurora,IL,CyrusOne Yorkville - Building 1,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Aurora,IL,CyrusOne Yorkville - Building 9,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Aurora,IL,CyrusOne Yorkville - Building 8,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Aurora,IL,CyrusOne Yorkville - Building 4,CyrusOne Data Centers,"within east of Eldamain Road, north of the Burlington Northern Santa Fe railroad and Faxon Road, and west of Beecher Road.",60545,Yorkville
Bloomington,IL,STL Data Center,STL,501 S. Towanda Barnes Rd.,61705,Bloomington
Bloomington,IL,Pearl Technology Bloomington Data Center,Pearl Technology,303 E Washington Street,61571,Bloomington
Bloomington,IL,STL Data Center,STL,501 S. Towanda Barnes Rd.,61705,Bloomington
Bloomington,IL,Pearl Technology Bloomington Data Center,Pearl Technology,303 E Washington Street,61571,Bloomington
Champaign,IL,Consolidated Mattoon,Consolidated Communications,1501 Charleston Ave,61938,Mattoon
Champaign,IL,ColocationPLUS Champaign,ColocationPLUS,401 S Chestnut,61820,Champaign
Champaign,IL,Consolidated Mattoon,Consolidated Communications,1501 Charleston Ave,61938,Mattoon
Champaign,IL,ColocationPLUS Champaign,ColocationPLUS,401 S Chestnut,61820,Champaign
Chicago,IL,N/A,N/A,N/A,N/A,N/A
Chicago,IL,350 East Cermak Road (ORD10),Digital Realty,350 East Cermak Road,60616,Chicago
Chicago,IL,600 S. Federal St. (ORD11),Digital Realty,600 South Federal Street,60605,Chicago
Chicago,IL,2200 Busse Road (CH1),Digital Realty,2200 Busse Road,60007,Elk Grove Village
Chicago,IL,505 N. Railroad Avenue (ORD23),Digital Realty,505 North Railroad Avenue,60164,Northlake
Chicago,IL,9333 Grand Avenue (ORD12),Digital Realty,9333 Grand Avenue,60131,Franklin Park
Chicago,IL,9355 Grand Ave (ORD13),Digital Realty,9355 Grand Ave,60131,Franklin Park
Chicago,IL,9377 Grand Ave (ORD14),Digital Realty,9377 Grand Ave,60131,Franklin Park
