Zipcode,Housing_Costs_Score,start_year,end_year
60148,4.3963767651520005,2019,2023
60164,4.587326021422616,2019,2023
60191,4.635552962746895,2019,2023
60502,4.046809174598221,2019,2023
60523,3.2211356817424157,2019,2023
60532,4.232024958281942,2019,2023
60605,3.502844950213371,2019,2023
60607,3.462140992167102,2019,2023
60608,4.408124090529118,2019,2023
60616,4.039133485669048,2019,2023
60617,4.342150198137826,2019,2023
60632,4.622172621662947,2019,2023
46320,3.9901044030867,2020,2024
60005,4.245405328394358,2020,2024
60007,4.430614388830526,2020,2024
60010,2.8211027910142956,2020,2024
60016,4.4475423972405865,2020,2024
60018,4.442555408221254,2020,2024
60056,4.263765065213803,2020,2024
60115,4.70338912712685,2020,2024
60131,4.687145839546675,2020,2024
60143,3.9298468143233487,2020,2024
60148,4.356217480145773,2020,2024
60164,4.526797134817088,2020,2024
60191,4.607760337821688,2020,2024
60502,3.958820824605324,2020,2024
60523,3.2005020395356136,2020,2024
60532,4.203013902154304,2020,2024
60605,3.4211460922974073,2020,2024
60607,3.4185196389855292,2020,2024
60608,4.415242605692222,2020,2024
60616,4.061806966877028,2020,2024
60617,4.33460640780819,2020,2024
60632,4.608254774411243,2020,2024
