giCity_x,Operator,Address,Zipcode,GEOID20,CLASSFP20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,RegionID,SizeRank,RegionType,State,City_y,Metro,CountyName,year,hval,hval_yrbefore,hval_yrafter
Chicago,DataBank,1808 Swift Dr,60523,60523.0,B5,G6350,S,23189884.0,865318.0,41.8363949,-87.9531732,84557.0,9980.0,zip,IL,Oak Brook,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2014,633550.5863487319,589519.4880371203,655355.9075571622
Chicago,CenterSquare,4513 Western Ave,60532,60532.0,B5,G6350,S,22128975.0,656348.0,41.7894426,-88.0839844,84563.0,3748.0,zip,IL,Lisle,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2000,192038.9002588004,,207750.46655418267
Chicago,"XNet Information Systems, Inc. / Cyrus One",3080 Ogden Ave,60532,60532.0,B5,G6350,S,22128975.0,656348.0,41.7894426,-88.0839844,84563.0,3748.0,zip,IL,Lisle,"Chicago-Naperville-Elgin, IL-IN-WI",DuPage County,2017,277640.0494860511,269172.3703567427,287347.8282579959
Chicago,CoreSite,400 S LaSalle St,60605,60605.0,B5,G6350,S,3704785.0,1885416.0,41.8675665,-87.6172276,84607.0,3929.0,zip,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2013,331597.8912553254,304450.10652814107,373106.48706888873
Chicago,Digital Realty,600 South Federal Street,60605,60605.0,B5,G6350,S,3704785.0,1885416.0,41.8675665,-87.6172276,84607.0,3929.0,zip,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2018,374427.9126826267,393872.9828414528,359172.53383591515
Chicago,Sinch / Digital Capital Partners,717 S Wells St,60607,60607.0,B5,G6350,S,5991517.0,61126.0,41.8748064,-87.6545431,84609.0,3650.0,zip,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2010,363430.7539613269,378413.4554336458,343504.7852652031
Chicago,TierPoint,601 W. Polk St.,60607,60607.0,B5,G6350,S,5991517.0,61126.0,41.8748064,-87.6545431,84609.0,3650.0,zip,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2016,442464.4280273055,418693.9237875478,467744.4863331558
Chicago,Serverfarm,840 S. Canal Street,60607,60607.0,B5,G6350,S,5991517.0,61126.0,41.8748064,-87.6545431,84609.0,3650.0,zip,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2016,442464.4280273055,418693.9237875478,467744.4863331558
Chicago,QTS Data Centers,2800 S. Ashland Ave,60608,60608.0,B5,G6350,S,16178857.0,612446.0,41.8468804,-87.6706636,84610.0,99.0,zip,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2015,247205.2554472865,233895.84332244785,267593.5725624484
Chicago,Lumen /  / DXC Technology,350 E Cermark Road,60616,60616.0,B5,G6350,S,9842168.0,1725112.0,41.8448829,-87.6240323,84618.0,949.0,zip,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2011,269525.88901651883,296415.4815672164,235370.2048189709
Chicago,Related Digital / Digital Crossroad,8080 S DuSable Lake Shore Dr,60617,60617.0,B5,G6350,S,35412244.0,1537715.0,41.7144167,-87.5557609,84619.0,79.0,zip,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2020,127050.1144604516,119677.21141418869,151636.89928598076
Chicago,"Cogent Communications, Inc. / QTS",4200 W 40th St,60632,60632.0,B5,G6350,S,19293764.0,123030.0,41.8101664,-87.7132518,84633.0,74.0,zip,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2015,131779.17372144773,117424.60075679891,146522.08288997874
