scraped_city,state,facility,operator,street,zip_code,city_in_desc
Los Angeles,CA,Alchemy Downtown Data Center,"Dynascale, Inc.",1200 West 7th Street,90017,Los Angeles
Los Angeles,CA,Crown Castle Los Angeles LA1,CROWN CASTLE,624 S Grand Ave,90017,Los Angeles
Los Angeles,CA,Equinix LA7,Equinix,1501 Francisco Street,90501,Torrance
Los Angeles,CA,Equinix LA3,Equinix,1920 E Maple Ave,90245,El Segundo
Los Angeles,CA,Evocative LAX14,Evocative Data Centers,3690 Redondo Beach Avenue,90278,Redondo Beach
Los Angeles,CA,ColoCrossing LA1,ColoCrossing,1200 W 7th Street,90017,Los Angeles
Los Angeles,CA,CoreSite One Wilshire (LA1),CoreSite,624 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,Crown Castle Los Angeles LA2,CROWN CASTLE,609 W 7th St,90017,Los Angeles
Los Angeles,CA,Cogent Data Center - La Mirada,"Cogent Communications, Inc.",16680 Valley View Avenue,90638,La Mirada
Los Angeles,CA,Equinix LA1,Equinix,600 West 7th Street,90017,Los Angeles
Los Angeles,CA,CoreSite Los Angeles (LA2),CoreSite,900 North Alameda,90017,Los Angeles
Los Angeles,CA,Xfernet Data Center,Xfernet,3250 Wilshire Blvd,90010,Koreatown
Los Angeles,CA,Psychz Los Angeles,Psychz Networks,700 Wilshire Blvd,90017,Los Angeles
Los Angeles,CA,UnitedLayer Los Angeles,"UnitedLayer, Inc.",624 S Grand Ave,90017,Los Angeles
Los Angeles,CA,One Data Center Ontario,One Data Center America,350 S Milliken Ave,91761,Ontario
Los Angeles,CA,Evocative LAX2,Evocative Data Centers,600 W 7th Street,90017,Los Angeles
Los Angeles,CA,DigiCo Los Angeles LAX1,DigiCo Infrastructure REIT,1977 Saturn St,91755,Monterey Park
Los Angeles,CA,Subrigo - 650 South Grand,Subrigo,650 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,Cogent Data Center - Burbank,"Cogent Communications, Inc.",100 S Flower St,91502,Burbank
Los Angeles,CA,Aon Center,Shorenstein,707 Wilshire Boulevard,90017,Los Angeles
Los Angeles,CA,TELEHOUSE Los Angeles Center,Telehouse America,626 Wilshire Boulevard,90017,Los Angeles
Los Angeles,CA,QuadraNet Los Angeles,QuadraNet.com,530 W. 6th St.,90014,Los Angeles
Los Angeles,CA,Goodman LAX01,Goodman,3094 E Vernon Ave,90058,Vernon
Los Angeles,CA,Centersquare - Los Angeles LAX2,Csquare,3015 Winona Avenue,91504,Burbank
Los Angeles,CA,Colocation America LADC1,Colocation America,624 South Grand Avenue,90017,Los Angeles
Los Angeles,CA,CoreSite Los Angeles (LA3),CoreSite,260 Bauchet St.,90012,Los Angeles
Los Angeles,CA,365 Data Centers - Los Angeles 1,365 Data Centers,600 W 7th St.,90017,Los Angeles
Los Angeles,CA,Vernon Data Center,"Downtown Properties Holdings, LLC",5001 S. Soto Street,90058,Vernon
Los Angeles,CA,Fireline Broadband Data Center,Fireline Broadband,5900 Wilshire Blvd,90036,Los Angeles
Los Angeles,CA,Edge Centres EC101 Los Angeles,Edge Centres,707 Wilshire Blvd.,90017,Los Angeles
Los Angeles,CA,Alchemy LAX Data Center,"Dynascale, Inc.",6171 West Century Blvd,90045,Los Angeles
Los Angeles,CA,Crown Castle Los Angeles LA3,CROWN CASTLE,530 W 6th St,90017,Los Angeles
Los Angeles,CA,DataBank - 707 Wilshire Blvd,DataBank,707 Wilshire Blvd,90017,Los Angeles
Los Angeles,CA,Aptum Los Angeles,Aptum,360 E 2nd Street,90017,Los Angeles
Los Angeles,CA,One Data Center America,One Data Center America,3833 Ebony St,91761,Ontario
Los Angeles,CA,DigiCo Los Angeles LAX2,DigiCo Infrastructure REIT,1980 Saturn St,91755,Monterey Park
Los Angeles,CA,365 Data Centers - Los Angeles 2,365 Data Centers,624 South Grand Ave,90017,Los Angeles
Los Angeles,CA,Spectrum Networks El Segundo,Spectrum,2345 Alaska Ave,90245,El Segundo
