RegionName,state,utility_name,ownership,service_type,avg_price_2021,avg_price_2022,avg_price_2023,avg_price_2024,comm_rate_2021,comm_rate_2022,comm_rate_2023,comm_rate_2024,ind_rate_2021,ind_rate_2022,ind_rate_2023,ind_rate_2024,pct_change_2021,pct_change_2022,pct_change_2023,pct_change_2024,res_rate_2021,res_rate_2022,res_rate_2023,res_rate_2024
10032,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,538653.685201561,564804.280792207,506920.077683569,511213.923188948,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,5.61484478006467,4.85480677271538,-10.2485418537282,0.847045854841625,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10033,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,649823.629673674,702572.042414521,589908.126584457,572208.50564562,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,7.6315747180355,8.11734297309815,-16.0359235819965,-3.0004029680548,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10034,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,541477.150328109,549091.791340605,489131.541660382,477558.955790576,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,1.49843417890716,1.40627190046375,-10.9198954757329,-2.36594553492127,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10035,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,909601.90637082,816598.546244998,744920.949104001,692777.267993537,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-16.7881670148953,-10.2246223841913,-8.77758079176059,-6.99989457581807,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10036,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,988135.21575952,1053126.16808795,1028710.68746164,995529.067367228,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-4.04029003438349,6.57713147876011,-2.31838134557428,-3.2255541328427,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10037,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,610662.798776566,624273.015994444,580526.00227705,555245.710376096,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-8.48830501307312,2.22876147771667,-7.00767334107927,-4.35472171819949,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10039,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,516062.85306423,697358.406848963,662946.086493909,634257.953445937,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,16.198088037932,35.1305180576848,-4.93466774288226,-4.32737045024182,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10040,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,648067.64669703,666732.642105597,546623.410157283,520967.719535325,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,1.9350649505391,2.88009986360147,-18.0146020103349,-4.69348552316408,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10044,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,763438.850889702,807281.407252966,834710.150481147,892305.00589477,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-3.42030478673428,5.74277249738737,3.39766814666485,6.89998263234532,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10065,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1657740.12350316,1767126.86587761,1526141.89960625,1415482.14071613,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,5.18095836814159,6.59854586515565,-13.6371061367841,-7.25094821907925,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10069,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1747000.73002153,1916276.86114346,1893441.61968425,1842517.1909599,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-3.3040348735642,9.68952835639871,-1.19164625541567,-2.68951670835469,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10075,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1380116.07930888,1445546.84583784,1165809.38606472,1127364.92311714,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,2.71350927752928,4.74096110536778,-19.351670309307,-3.29766284326745,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10128,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1231827.67173114,1333455.50169479,1140334.30907998,1098550.21079365,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,4.24208164038164,8.250166179562,-14.4827624445928,-3.6641972405484,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10280,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,734446.154927365,773723.325221857,760203.189444382,749810.671478318,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-7.53938956761202,5.34786247173918,-1.7474121997806,-1.36707108183271,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
10282,NY,Consolidated Edison Co-NY Inc,Investor Owned,Bundled,1521962.50067294,1723023.34002701,1791224.71135758,1901949.74341931,0.1702453984472475,0.182531232383441,0.179864874729394,0.195811436252485,0.146959581110625,0.164650546868825,0.1642105160155665,0.27427918290178,-0.760357899576369,13.21063030562,3.95823839098474,6.18152660353887,0.22334047113841948,0.234053323574988,0.254881543617693,0.301360876511574
