ZCTA5A,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020,2017-2021,2018-2022,2019-2023,2020-2024
46404,3.8269583627381794,3.770306258322237,3.759075667006852,3.763341067285383,3.4454599494724327,3.382520443925233,3.44847750124795,3.517339980937019,3.5821264570823037,3.674927423351979,3.8191513849459056,3.994662061386294,4.02941647964091,3.96753355704698
46405,4.027138249360472,4.061010705652124,3.9560595322466336,3.8862792091072498,3.953074027603513,3.925503610794375,3.893614287549788,3.949641193503714,4.086900297426613,4.045717288491855,4.229356738653424,4.431204508100493,4.542894178647184,4.513140161725067
46406,3.5993863393810037,3.697027283833311,3.5888117599020006,3.657016746722056,3.5393867301083795,3.4145015906680807,3.429586733350882,3.350870552611658,3.4510803918937056,3.593654932637984,3.693149381541389,3.716568671792552,3.979226253198856,3.920992256954402
46407,3.305641387834378,3.337265721624964,3.391173908835769,3.332104752667313,3.055392107131988,2.9127235564639755,2.968358331621122,3.0681623931623934,3.1000664893617023,3.1798904220779223,3.2756456673907794,3.359257040143799,3.4128869235628554,3.3517601043024774
46408,3.81284650720735,3.881736526946108,3.841974715954553,3.8049955105705657,3.660837705054543,3.627345844504021,3.623633933485337,3.6551805337519614,3.660551168911596,3.5321637426900585,3.7406694560669456,3.902771962147224,4.025787255145053,4.069094760857166
46409,4.170094325034792,4.127301841473178,4.134464969212847,4.088151019720209,3.921558618342692,3.8819281155525696,3.893675684990522,3.8540372670807455,3.838364338364338,3.8265563152213034,4.106884747052111,4.249568717653824,4.290007513148009,4.367965367965368
46410,4.611516414799374,4.573027528871348,4.517737358101135,4.505980510380341,4.400893555961388,4.434747356813907,4.536187792224428,4.531716417910448,4.5887210344386125,4.572499765676258,4.653680695526608,4.68964913815732,4.702317748472912,4.648196272389416
46532,3.891699092088197,3.999372647427855,4.130128205128205,4.058132706987669,3.786802030456853,3.834190231362468,3.6365475387727577,3.5160370634354954,3.5529506871463217,3.7689594356261034,3.8672237697307335,4.042931937172775,4.385338345864661,4.532173913043478
46534,3.8090518665345225,3.748297801093872,3.749521342493524,3.755852842809365,3.608906882591093,3.6154635648306535,3.725199675888413,3.745255216314983,3.7110501847657646,3.7190810465858326,3.7620789706067863,3.8870471228984136,3.878238046331165,3.925034075420264
46552,3.902120408936009,3.954545454545455,3.894332723948812,3.9303184937532993,3.848719366132301,3.870471184531632,3.918074160357212,3.924144486692015,3.8444360333081,3.905926622765757,3.997823936696341,4.100339494530366,4.12541993281075,4.232155603140614
46554,4.22489851150203,4.050577240241891,3.989690721649485,3.922823886639676,3.6971214017521903,3.70823998008464,3.674269422665717,3.707616707616708,3.766788766788767,3.749177423437105,3.792100932528799,4.046715328467153,4.206964335860714,4.4779622209502
46574,3.988890704133312,3.935333010804709,3.847049689440994,3.886277001270648,3.754608830364059,3.835618436406068,3.732956152758133,3.863252595155709,3.8342480790340288,3.900624566273421,3.9127608104021774,4.123345273321912,4.07214241099313,4.14313607689997
47917,3.548888888888889,3.2375690607734806,3.198529411764706,3.501187648456057,3.5028248587570623,3.49375,3.403409090909091,3.6731843575419,4.012345679012346,3.852201257861635,4.096045197740113,3.972049689440994,3.9444444444444446,3.867924528301887
47922,3.658578856152513,3.754042553191489,3.658291457286432,3.686192468619247,3.5,3.370141342756184,3.323348017621145,3.4456521739130435,3.3981244671781754,3.511206896551724,3.78584229390681,3.893385982230997,4.08325266214908,4.059475806451613
47942,3.818035426731079,4.036020583190394,4.021702838063439,3.87800963081862,3.40224358974359,3.321428571428572,3.183246073298429,3.0945017182130585,2.867394695787832,3.1631944444444446,3.5607321131447587,3.80184331797235,3.8736681887366817,4.322742474916388
47943,4.229845626072041,4.402337228714524,4.493174061433447,4.446107784431137,4.298648648648649,3.958776595744681,3.6503164556962022,3.701298701298701,4.265116279069767,4.387978142076503,5.011824324324325,5.088418430884184,4.967605633802817,4.928915662650603
47944,3.5135617416131333,3.5753768844221105,3.555218216318785,3.3032142857142857,3.307469180565627,3.3429179978700745,3.379076086956522,3.531936127744511,3.622798271851113,3.538513742789277,3.6192592592592594,3.8333333333333335,3.983848797250859,3.943734898170521
47946,3.642611683848797,3.4878048780487805,3.620512820512821,3.5793871866295266,3.256441717791411,3.198757763975155,3.3553542887586576,3.307246376811594,3.190120620333142,3.1713375796178345,3.3120805369127515,3.639839034205232,3.7922419460881,4.022042615723732
47948,3.5561139028475712,3.5664395229982966,3.4507042253521125,3.375323554788611,3.33786231884058,3.419550173010381,3.442188879082083,3.529209621993127,3.730066445182724,3.6456896551724136,3.911231884057971,3.952469711090401,4.0,3.990332975295381
47951,3.5673181324647123,3.5408,3.4385775862068964,3.5980392156862746,3.4035850081477457,3.468211206896552,3.520669806384092,3.6046758767268874,3.593949044585987,3.740478299379982,3.86832895888014,4.109200743494424,4.258110014104372,4.299184043517679
47957,3.715353260869565,3.736075949367089,3.6918852959121415,3.785858585858586,3.5774647887323945,3.3951497860199717,3.2251506024096384,3.365934797072521,3.2594594594594595,3.4884763124199742,3.570728291316527,3.8032899246058944,3.89382373351839,3.973462783171521
47959,3.615023474178404,3.632643235435725,3.525918944392083,3.465327594452415,3.3711977186311786,3.375239923224568,3.428,3.6225,3.6635987114588127,3.7501290655653072,4.004640371229699,4.272975929978118,4.254476397178514,4.1341059602649
47963,3.783075089392133,3.917270531400966,3.782819116757411,3.7955271565495208,3.831117021276596,3.920656634746922,3.8267263427109977,3.8006134969325154,3.751176470588235,3.7939590075512406,3.760088446655611,4.040217391304348,4.214686098654709,4.10917979359044
47964,3.872340425531915,3.844262295081968,3.915254237288136,3.958677685950413,2.778688524590164,2.4402985074626864,2.1160714285714284,2.5319148936170213,2.5638297872340425,3.023809523809524,3.779220779220779,3.4125,3.320987654320988,3.5121951219512195
47977,3.870853080568721,3.865764241398759,3.9191616766467066,3.9068710959682,3.634007585335019,3.6475972540045767,3.854700854700855,3.7448275862068967,3.836285560923242,3.806693306693307,3.7843450479233223,3.9323843416370106,3.945835462442514,3.992853739876132
47978,3.945615982241953,3.8749576797201217,3.8503377991526393,3.7815703775177902,3.652479689584091,3.618082889557768,3.687369640787949,3.732155394336532,3.7774927113702623,3.611685868798495,3.729588193287313,3.88241168393459,3.913550267119961,4.0059909524391735
47995,3.693156732891832,3.6776729559748422,3.690016103059581,3.7302936630602783,3.592745259686727,3.535458167330677,3.673003802281369,3.809486780715397,3.803361344537815,3.940253920836445,4.19660014781966,4.3156199677938805,4.303846153846154,4.363829787234042
49113,3.914776632302405,3.769647696476965,3.789438050101557,3.785812672176308,3.572895277207392,3.5237439779766,3.5395732966276667,3.642255346727155,3.603205128205128,3.548306148055207,3.60125786163522,3.841502227880331,4.060929648241206,4.024714828897339
49117,4.069440617249931,4.028495102404274,4.186357039187228,4.160435267857143,4.108724832214765,4.0812101910828025,4.0953981385729055,4.083310937919914,4.095649895178197,4.121017535193875,4.255644951985466,4.298469387755102,4.352112676056338,4.420220772704465
49128,3.8060689655172415,3.923726428370392,3.9087485515643103,3.983139534883721,3.85985401459854,3.9962488277586745,3.928108808290156,3.930541708208707,4.0210812648758925,4.10595567867036,3.9407689643228254,4.093091144988647,4.162512139851085,4.30302066772655
52031,3.81240830014672,3.810002183882944,3.716630669546437,3.7437307523097223,3.7082646574052274,3.7181223200180544,3.780400890868597,3.9851748899698864,3.968456375838926,4.021826280623608,4.113535069200094,4.079205807002562,4.127211457455771,4.107725321888412
52064,3.6191155492154063,3.654008438818565,3.763812154696133,3.7735099337748346,3.5910735826296745,3.653225806451613,3.777633289986996,3.869451697127938,3.804878048780488,4.038216560509555,3.871987951807229,3.841704718417047,3.915514592933948,4.030487804878049
52070,3.6270853778213934,3.98155737704918,3.9704329461457233,3.80641925777332,3.6666666666666665,3.751472320376914,3.5257985257985256,3.517123287671233,3.4150943396226414,3.425311203319502,3.507858546168958,3.751893939393939,3.887830687830688,4.26528384279476
52732,3.680432769217816,3.7414292812189465,3.762617054777493,3.760316212077315,3.6778763293959393,3.6902183182670982,3.7319847752640807,3.869576468558613,3.9336314220585655,3.893126156759781,4.06859075535513,4.228306655433867,4.262642101136809,4.299209537384995
53104,4.669273513068533,4.514532434709351,4.434728033472803,4.379449152542373,4.3451941852896505,4.367426576299034,4.456917978458989,4.678655534146864,4.69325413661434,4.590841636633454,4.504447519272584,4.485616576141622,4.4644540455616655,4.576703987428796
53105,4.481909673126507,4.42054855931858,4.45644887656722,4.468229187786384,4.472019667486145,4.452304883614787,4.558976245962631,4.571388021572523,4.548976491284184,4.520675665132246,4.539681929932391,4.578650835665129,4.57783430784418,4.605194805194805
53128,4.870146008077042,4.78220906683284,4.769592016436748,4.665723223596007,4.640639409775591,4.618170750266322,4.668665436654367,4.711743772241993,4.764198305616567,4.723155137883223,4.7549441100601895,4.830649882903981,4.826734104046243,4.9041056968319365
53139,4.269214790195264,4.356435643564357,4.432026688907423,4.378656777915122,4.3225933202357565,4.263549855192387,4.235471373224279,4.21856027753686,4.31036056595162,4.519944979367263,4.555830039525691,4.542105263157895,4.708315193730954,4.744653550042772
53140,4.207987444761079,4.3000081612666285,4.3402417261518496,4.26410045286126,4.196437510428834,4.192896762977068,4.253126329221608,4.2612196963342,4.354110693175712,4.328454094494592,4.466302791003755,4.557740970784449,4.648097928436911,4.667971035693388
53142,4.646773752296088,4.668520449542347,4.627924175781402,4.635707074629184,4.565825881220676,4.556318301968675,4.549601399961112,4.624479027262646,4.656550424128181,4.583297180043384,4.662762520193861,4.7291252485089466,4.701382050324289,4.705687809031075
53143,4.4976008724100325,4.50309184773359,4.496576879910213,4.466711918094915,4.404147413501634,4.345663474692202,4.354288206749905,4.399495939512741,4.396809515869045,4.449895615866389,4.532490460732388,4.71284909780485,4.703805139560632,4.675619596541787
53144,4.432805873500843,4.391467373908272,4.366328916601715,4.429267606953751,4.424281795871228,4.441458733205375,4.4909885839203305,4.53060432631681,4.59011782960772,4.554134000288586,4.679011762482876,4.827307745857892,4.8189682219532965,4.812356284437502
53147,4.438732019179541,4.436802610114192,4.4135103475205,4.369071179963147,4.305295731064069,4.359251358976123,4.348526548969591,4.410867683292269,4.494032041871449,4.494335539714868,4.542748917748917,4.585807181227029,4.614280105446183,4.646071370552878
53158,4.655264187866927,4.689641497461929,4.640263770364624,4.688659327401599,4.670693716282957,4.658755038065383,4.654468085106383,4.615026208503203,4.647864223062112,4.67687606594656,4.715554026152788,4.771359571829515,4.807121280287936,4.790286304783904
