GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,U2TE001,NAME_M,U2TM001
"G81230","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81230",,,,,,,"86000US81230",,"ZCTA5 81230",860,"ZCTA5 81230",70
"G81231","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81231",,,,,,,"86000US81231",,"ZCTA5 81231",.,"ZCTA5 81231",.
"G81232","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81232",,,,,,,"86000US81232",,"ZCTA5 81232",.,"ZCTA5 81232",.
"G81233","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81233",,,,,,,"86000US81233",,"ZCTA5 81233",893,"ZCTA5 81233",401
"G81235","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81235",,,,,,,"86000US81235",,"ZCTA5 81235",821,"ZCTA5 81235",246
"G81236","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81236",,,,,,,"86000US81236",,"ZCTA5 81236",589,"ZCTA5 81236",232
"G81237","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81237",,,,,,,"86000US81237",,"ZCTA5 81237",718,"ZCTA5 81237",33
"G81239","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81239",,,,,,,"86000US81239",,"ZCTA5 81239",.,"ZCTA5 81239",.
"G81240","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81240",,,,,,,"86000US81240",,"ZCTA5 81240",903,"ZCTA5 81240",123
"G81241","2009-2013","US",,,,,,,,,,,,,,,,,,,,,,,,,"81241",,,,,,,"86000US81241",,"ZCTA5 81241",525,"ZCTA5 81241",531
