GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,NAEE001,NAME_M,NAEM001
"G89124","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89124",,,,,,,"86000US89124",,"ZCTA5 89124",1754,"ZCTA5 89124",923
"G89128","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89128",,,,,,,"86000US89128",,"ZCTA5 89128",1286,"ZCTA5 89128",43
"G89129","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89129",,,,,,,"86000US89129",,"ZCTA5 89129",1517,"ZCTA5 89129",51
"G89130","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89130",,,,,,,"86000US89130",,"ZCTA5 89130",1488,"ZCTA5 89130",58
"G89131","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89131",,,,,,,"86000US89131",,"ZCTA5 89131",1908,"ZCTA5 89131",75
"G89134","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89134",,,,,,,"86000US89134",,"ZCTA5 89134",1257,"ZCTA5 89134",63
"G89135","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89135",,,,,,,"86000US89135",,"ZCTA5 89135",1774,"ZCTA5 89135",81
"G89138","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89138",,,,,,,"86000US89138",,"ZCTA5 89138",2129,"ZCTA5 89138",174
"G89139","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89139",,,,,,,"86000US89139",,"ZCTA5 89139",1627,"ZCTA5 89139",42
"G89141","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89141",,,,,,,"86000US89141",,"ZCTA5 89141",1946,"ZCTA5 89141",103
"G89142","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89142",,,,,,,"86000US89142",,"ZCTA5 89142",1273,"ZCTA5 89142",51
"G89143","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89143",,,,,,,"86000US89143",,"ZCTA5 89143",1984,"ZCTA5 89143",133
"G89144","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89144",,,,,,,"86000US89144",,"ZCTA5 89144",1601,"ZCTA5 89144",45
"G89145","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89145",,,,,,,"86000US89145",,"ZCTA5 89145",1328,"ZCTA5 89145",52
"G89146","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89146",,,,,,,"86000US89146",,"ZCTA5 89146",1103,"ZCTA5 89146",46
"G89147","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89147",,,,,,,"86000US89147",,"ZCTA5 89147",1325,"ZCTA5 89147",38
"G89148","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89148",,,,,,,"86000US89148",,"ZCTA5 89148",1587,"ZCTA5 89148",58
"G89149","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89149",,,,,,,"86000US89149",,"ZCTA5 89149",1694,"ZCTA5 89149",113
"G89156","2007-2011","US",,,,,,,,,,,,,,,,,,,,,,,,,"89156",,,,,,,"86000US89156",,"ZCTA5 89156",1200,"ZCTA5 89156",49
