GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ABY2E001,NAME_M,ABY2M001
"G98855","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98855",,,,,,,"86000US98855",,"ZCTA5 98855",579,"ZCTA5 98855",86
"G98856","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98856",,,,,,,"86000US98856",,"ZCTA5 98856",552,"ZCTA5 98856",62
"G98857","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98857",,,,,,,"86000US98857",,"ZCTA5 98857",651,"ZCTA5 98857",87
"G98858","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98858",,,,,,,"86000US98858",,"ZCTA5 98858",777,"ZCTA5 98858",72
"G98859","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98859",,,,,,,"86000US98859",,"ZCTA5 98859",156,"ZCTA5 98859",131
"G98860","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98860",,,,,,,"86000US98860",,"ZCTA5 98860",688,"ZCTA5 98860",257
"G98862","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98862",,,,,,,"86000US98862",,"ZCTA5 98862",852,"ZCTA5 98862",104
"G98901","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98901",,,,,,,"86000US98901",,"ZCTA5 98901",736,"ZCTA5 98901",32
"G98902","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98902",,,,,,,"86000US98902",,"ZCTA5 98902",835,"ZCTA5 98902",25
"G98903","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98903",,,,,,,"86000US98903",,"ZCTA5 98903",846,"ZCTA5 98903",56
"G98908","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98908",,,,,,,"86000US98908",,"ZCTA5 98908",1009,"ZCTA5 98908",53
"G98921","2010-2014","US",,,,,,,,,,,,,,,,,,,,,,,,,"98921",,,,,,,"86000US98921",,"ZCTA5 98921",970,"ZCTA5 98921",385
