GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AIM5E001,NAME_M,AIM5M001
"G61936","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61936",,,,,,,"86000US61936",,"ZCTA5 61936",476,"ZCTA5 61936",79
"G61937","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61937",,,,,,,"86000US61937",,"ZCTA5 61937",613,"ZCTA5 61937",50
"G61938","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61938",,,,,,,"86000US61938",,"ZCTA5 61938",675,"ZCTA5 61938",23
"G61940","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61940",,,,,,,"86000US61940",,"ZCTA5 61940",389,"ZCTA5 61940",63
"G61941","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61941",,,,,,,"86000US61941",,"ZCTA5 61941",.,"ZCTA5 61941",.
"G61942","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61942",,,,,,,"86000US61942",,"ZCTA5 61942",609,"ZCTA5 61942",69
"G61943","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61943",,,,,,,"86000US61943",,"ZCTA5 61943",589,"ZCTA5 61943",78
"G61944","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61944",,,,,,,"86000US61944",,"ZCTA5 61944",640,"ZCTA5 61944",30
"G61949","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61949",,,,,,,"86000US61949",,"ZCTA5 61949",533,"ZCTA5 61949",109
"G61951","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61951",,,,,,,"86000US61951",,"ZCTA5 61951",735,"ZCTA5 61951",75
"G61953","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61953",,,,,,,"86000US61953",,"ZCTA5 61953",710,"ZCTA5 61953",67
"G61955","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61955",,,,,,,"86000US61955",,"ZCTA5 61955",813,"ZCTA5 61955",270
"G61956","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61956",,,,,,,"86000US61956",,"ZCTA5 61956",679,"ZCTA5 61956",53
"G61957","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"61957",,,,,,,"86000US61957",,"ZCTA5 61957",647,"ZCTA5 61957",41
"G62001","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62001",,,,,,,"86000US62001",,"ZCTA5 62001",858,"ZCTA5 62001",260
"G62002","2013-2017","US",,,,,,,,,,,,,,,,,,,,,,,,,"62002",,,,,,,"86000US62002",,"ZCTA5 62002",777,"ZCTA5 62002",24
