GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AKLKE001,NAME_M,AKLKM001
"G73541","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73541",,,,,,,"86000US73541",,"ZCTA5 73541",784,"ZCTA5 73541",85
"G73542","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73542",,,,,,,"86000US73542",,"ZCTA5 73542",539,"ZCTA5 73542",36
"G73543","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73543",,,,,,,"86000US73543",,"ZCTA5 73543",731,"ZCTA5 73543",100
"G73544","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73544",,,,,,,"86000US73544",,"ZCTA5 73544",537,"ZCTA5 73544",70
"G73546","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73546",,,,,,,"86000US73546",,"ZCTA5 73546",436,"ZCTA5 73546",63
"G73547","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73547",,,,,,,"86000US73547",,"ZCTA5 73547",476,"ZCTA5 73547",45
"G73548","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73548",,,,,,,"86000US73548",,"ZCTA5 73548",338,"ZCTA5 73548",145
"G73549","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73549",,,,,,,"86000US73549",,"ZCTA5 73549",564,"ZCTA5 73549",198
"G73550","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73550",,,,,,,"86000US73550",,"ZCTA5 73550",501,"ZCTA5 73550",62
"G73551","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73551",,,,,,,"86000US73551",,"ZCTA5 73551",500,"ZCTA5 73551",416
"G73552","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73552",,,,,,,"86000US73552",,"ZCTA5 73552",612,"ZCTA5 73552",127
"G73553","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73553",,,,,,,"86000US73553",,"ZCTA5 73553",.,"ZCTA5 73553",.
"G73554","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73554",,,,,,,"86000US73554",,"ZCTA5 73554",483,"ZCTA5 73554",44
"G73555","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73555",,,,,,,"86000US73555",,"ZCTA5 73555",563,"ZCTA5 73555",208
"G73556","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73556",,,,,,,"86000US73556",,"ZCTA5 73556",517,"ZCTA5 73556",130
"G73557","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73557",,,,,,,"86000US73557",,"ZCTA5 73557",1031,"ZCTA5 73557",193
"G73559","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73559",,,,,,,"86000US73559",,"ZCTA5 73559",393,"ZCTA5 73559",85
"G73560","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73560",,,,,,,"86000US73560",,"ZCTA5 73560",614,"ZCTA5 73560",124
"G73562","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73562",,,,,,,"86000US73562",,"ZCTA5 73562",551,"ZCTA5 73562",149
"G73564","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73564",,,,,,,"86000US73564",,"ZCTA5 73564",338,"ZCTA5 73564",72
"G73565","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73565",,,,,,,"86000US73565",,"ZCTA5 73565",507,"ZCTA5 73565",61
"G73566","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73566",,,,,,,"86000US73566",,"ZCTA5 73566",495,"ZCTA5 73566",73
"G73567","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73567",,,,,,,"86000US73567",,"ZCTA5 73567",474,"ZCTA5 73567",100
"G73568","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73568",,,,,,,"86000US73568",,"ZCTA5 73568",375,"ZCTA5 73568",78
"G73569","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73569",,,,,,,"86000US73569",,"ZCTA5 73569",384,"ZCTA5 73569",41
"G73570","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73570",,,,,,,"86000US73570",,"ZCTA5 73570",510,"ZCTA5 73570",152
"G73571","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73571",,,,,,,"86000US73571",,"ZCTA5 73571",1066,"ZCTA5 73571",245
"G73572","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73572",,,,,,,"86000US73572",,"ZCTA5 73572",584,"ZCTA5 73572",72
"G73573","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73573",,,,,,,"86000US73573",,"ZCTA5 73573",462,"ZCTA5 73573",63
"G73601","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73601",,,,,,,"86000US73601",,"ZCTA5 73601",691,"ZCTA5 73601",82
"G73620","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73620",,,,,,,"86000US73620",,"ZCTA5 73620",639,"ZCTA5 73620",149
"G73622","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73622",,,,,,,"86000US73622",,"ZCTA5 73622",316,"ZCTA5 73622",54
"G73624","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73624",,,,,,,"86000US73624",,"ZCTA5 73624",690,"ZCTA5 73624",35
"G73625","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73625",,,,,,,"86000US73625",,"ZCTA5 73625",613,"ZCTA5 73625",262
"G73626","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73626",,,,,,,"86000US73626",,"ZCTA5 73626",550,"ZCTA5 73626",187
"G73627","2014-2018","US",,,,,,,,,,,,,,,,,,,,,,,,,"73627",,,,,,,"86000US73627",,"ZCTA5 73627",356,"ZCTA5 73627",243
