GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AMJBE001,NAME_M,AMJBM001
"G49630","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49630",,,,,,,"86000US49630",,"ZCTA5 49630",951,"ZCTA5 49630",83
"G49631","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49631",,,,,,,"86000US49631",,"ZCTA5 49631",622,"ZCTA5 49631",36
"G49632","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49632",,,,,,,"86000US49632",,"ZCTA5 49632",649,"ZCTA5 49632",48
"G49633","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49633",,,,,,,"86000US49633",,"ZCTA5 49633",710,"ZCTA5 49633",54
"G49634","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49634",,,,,,,"86000US49634",,"ZCTA5 49634",625,"ZCTA5 49634",403
"G49635","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49635",,,,,,,"86000US49635",,"ZCTA5 49635",751,"ZCTA5 49635",59
"G49636","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49636",,,,,,,"86000US49636",,"ZCTA5 49636",1417,"ZCTA5 49636",688
"G49637","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49637",,,,,,,"86000US49637",,"ZCTA5 49637",952,"ZCTA5 49637",67
"G49638","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49638",,,,,,,"86000US49638",,"ZCTA5 49638",565,"ZCTA5 49638",62
"G49639","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49639",,,,,,,"86000US49639",,"ZCTA5 49639",704,"ZCTA5 49639",85
"G49640","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49640",,,,,,,"86000US49640",,"ZCTA5 49640",822,"ZCTA5 49640",72
"G49642","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49642",,,,,,,"86000US49642",,"ZCTA5 49642",389,"ZCTA5 49642",110
"G49643","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49643",,,,,,,"86000US49643",,"ZCTA5 49643",952,"ZCTA5 49643",48
"G49644","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49644",,,,,,,"86000US49644",,"ZCTA5 49644",575,"ZCTA5 49644",78
"G49645","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49645",,,,,,,"86000US49645",,"ZCTA5 49645",675,"ZCTA5 49645",112
"G49646","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49646",,,,,,,"86000US49646",,"ZCTA5 49646",694,"ZCTA5 49646",37
"G49648","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49648",,,,,,,"86000US49648",,"ZCTA5 49648",1127,"ZCTA5 49648",104
"G49649","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49649",,,,,,,"86000US49649",,"ZCTA5 49649",990,"ZCTA5 49649",89
"G49650","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49650",,,,,,,"86000US49650",,"ZCTA5 49650",981,"ZCTA5 49650",94
"G49651","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49651",,,,,,,"86000US49651",,"ZCTA5 49651",719,"ZCTA5 49651",43
"G49653","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49653",,,,,,,"86000US49653",,"ZCTA5 49653",925,"ZCTA5 49653",109
"G49654","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,"49654",,,,,,,"86000US49654",,"ZCTA5 49654",983,"ZCTA5 49654",187
