GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AD8XE001,NAME_M,AD8XM001
"G88417","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88417",,,,,,,"86000US88417",,"ZCTA5 88417",.,"ZCTA5 88417",.
"G88418","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88418",,,,,,,"86000US88418",,"ZCTA5 88418",508,"ZCTA5 88418",80
"G88419","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88419",,,,,,,"86000US88419",,"ZCTA5 88419",,"ZCTA5 88419",
"G88421","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88421",,,,,,,"86000US88421",,"ZCTA5 88421",.,"ZCTA5 88421",.
"G88422","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88422",,,,,,,"86000US88422",,"ZCTA5 88422",890,"ZCTA5 88422",760
"G88424","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88424",,,,,,,"86000US88424",,"ZCTA5 88424",618,"ZCTA5 88424",14
"G88426","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88426",,,,,,,"86000US88426",,"ZCTA5 88426",415,"ZCTA5 88426",67
"G88427","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88427",,,,,,,"86000US88427",,"ZCTA5 88427",382,"ZCTA5 88427",58
"G88430","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88430",,,,,,,"86000US88430",,"ZCTA5 88430",501,"ZCTA5 88430",207
"G88431","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88431",,,,,,,"86000US88431",,"ZCTA5 88431",.,"ZCTA5 88431",.
"G88434","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88434",,,,,,,"86000US88434",,"ZCTA5 88434",532,"ZCTA5 88434",145
"G88435","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88435",,,,,,,"86000US88435",,"ZCTA5 88435",544,"ZCTA5 88435",104
"G88436","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"88436",,,,,,,"86000US88436",,"ZCTA5 88436",,"ZCTA5 88436",
"G89001","2011-2015","US",,,,,,,,,,,,,,,,,,,,,,,,,"89001",,,,,,,"86000US89001",,"ZCTA5 89001",592,"ZCTA5 89001",200
