GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,RGDE001,NAME_M,RGDM001
"G74042","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74042",,,,,,,"86000US74042",,"ZCTA5 74042",525,"ZCTA5 74042",258
"G74044","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74044",,,,,,,"86000US74044",,"ZCTA5 74044",608,"ZCTA5 74044",87
"G74045","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74045",,,,,,,"86000US74045",,"ZCTA5 74045",625,"ZCTA5 74045",193
"G74046","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74046",,,,,,,"86000US74046",,"ZCTA5 74046",389,"ZCTA5 74046",193
"G74047","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74047",,,,,,,"86000US74047",,"ZCTA5 74047",756,"ZCTA5 74047",65
"G74048","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74048",,,,,,,"86000US74048",,"ZCTA5 74048",467,"ZCTA5 74048",48
"G74050","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74050",,,,,,,"86000US74050",,"ZCTA5 74050",674,"ZCTA5 74050",295
"G74051","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74051",,,,,,,"86000US74051",,"ZCTA5 74051",742,"ZCTA5 74051",104
"G74052","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74052",,,,,,,"86000US74052",,"ZCTA5 74052",380,"ZCTA5 74052",67
"G74053","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74053",,,,,,,"86000US74053",,"ZCTA5 74053",892,"ZCTA5 74053",101
"G74054","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74054",,,,,,,"86000US74054",,"ZCTA5 74054",327,"ZCTA5 74054",97
"G74055","2008-2012","US",,,,,,,,,,,,,,,,,,,,,,,,,"74055",,,,,,,"86000US74055",,"ZCTA5 74055",1152,"ZCTA5 74055",33
