GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,ANDYE001,NAME_M,ANDYM001
"G37803","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37803",,,,,,,"86000US37803",,"ZCTA 37803",852,"ZCTA 37803",42
"G37804","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37804",,,,,,,"86000US37804",,"ZCTA 37804",905,"ZCTA 37804",58
"G37806","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37806",,,,,,,"86000US37806",,"ZCTA 37806",580,"ZCTA 37806",89
"G37807","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37807",,,,,,,"86000US37807",,"ZCTA 37807",667,"ZCTA 37807",97
"G37809","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37809",,,,,,,"86000US37809",,"ZCTA 37809",636,"ZCTA 37809",124
"G37810","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37810",,,,,,,"86000US37810",,"ZCTA 37810",417,"ZCTA 37810",80
"G37811","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37811",,,,,,,"86000US37811",,"ZCTA 37811",478,"ZCTA 37811",54
"G37813","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37813",,,,,,,"86000US37813",,"ZCTA 37813",683,"ZCTA 37813",93
"G37814","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37814",,,,,,,"86000US37814",,"ZCTA 37814",715,"ZCTA 37814",30
"G37818","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37818",,,,,,,"86000US37818",,"ZCTA 37818",500,"ZCTA 37818",104
"G37819","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37819",,,,,,,"86000US37819",,"ZCTA 37819",528,"ZCTA 37819",102
"G37820","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37820",,,,,,,"86000US37820",,"ZCTA 37820",635,"ZCTA 37820",67
"G37821","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37821",,,,,,,"86000US37821",,"ZCTA 37821",585,"ZCTA 37821",85
"G37825","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37825",,,,,,,"86000US37825",,"ZCTA 37825",596,"ZCTA 37825",41
"G37826","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37826",,,,,,,"86000US37826",,"ZCTA 37826",578,"ZCTA 37826",121
"G37828","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37828",,,,,,,"86000US37828",,"ZCTA 37828",878,"ZCTA 37828",168
"G37829","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37829",,,,,,,"86000US37829",,"ZCTA 37829",788,"ZCTA 37829",95
"G37830","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37830",,,,,,,"86000US37830",,"ZCTA 37830",855,"ZCTA 37830",31
"G37840","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37840",,,,,,,"86000US37840",,"ZCTA 37840",684,"ZCTA 37840",54
"G37841","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37841",,,,,,,"86000US37841",,"ZCTA 37841",543,"ZCTA 37841",87
"G37843","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37843",,,,,,,"86000US37843",,"ZCTA 37843",590,"ZCTA 37843",80
"G37845","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37845",,,,,,,"86000US37845",,"ZCTA 37845",421,"ZCTA 37845",413
"G37846","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37846",,,,,,,"86000US37846",,"ZCTA 37846",586,"ZCTA 37846",119
"G37847","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37847",,,,,,,"86000US37847",,"ZCTA 37847",493,"ZCTA 37847",101
"G37848","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37848",,,,,,,"86000US37848",,"ZCTA 37848",754,"ZCTA 37848",283
"G37849","2016-2020","US",,,,,,,,,,,,,,,,,,,,,,,,,"37849",,,,,,,"86000US37849",,"ZCTA 37849",909,"ZCTA 37849",72
