GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,NAME_E,AGQNE001,NAME_M,AGQNM001
"G44490","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44490",,,,,,,"86000US44490",,"ZCTA5 44490",666,"ZCTA5 44490",62
"G44491","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44491",,,,,,,"86000US44491",,"ZCTA5 44491",911,"ZCTA5 44491",86
"G44493","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44493",,,,,,,"86000US44493",,"ZCTA5 44493",.,"ZCTA5 44493",.
"G44502","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44502",,,,,,,"86000US44502",,"ZCTA5 44502",570,"ZCTA5 44502",32
"G44503","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44503",,,,,,,"86000US44503",,"ZCTA5 44503",230,"ZCTA5 44503",12
"G44504","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44504",,,,,,,"86000US44504",,"ZCTA5 44504",678,"ZCTA5 44504",43
"G44505","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44505",,,,,,,"86000US44505",,"ZCTA5 44505",526,"ZCTA5 44505",22
"G44506","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44506",,,,,,,"86000US44506",,"ZCTA5 44506",389,"ZCTA5 44506",63
"G44507","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44507",,,,,,,"86000US44507",,"ZCTA5 44507",553,"ZCTA5 44507",52
"G44509","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44509",,,,,,,"86000US44509",,"ZCTA5 44509",554,"ZCTA5 44509",37
"G44510","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44510",,,,,,,"86000US44510",,"ZCTA5 44510",499,"ZCTA5 44510",91
"G44511","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44511",,,,,,,"86000US44511",,"ZCTA5 44511",637,"ZCTA5 44511",27
"G44512","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44512",,,,,,,"86000US44512",,"ZCTA5 44512",738,"ZCTA5 44512",28
"G44514","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44514",,,,,,,"86000US44514",,"ZCTA5 44514",814,"ZCTA5 44514",46
"G44515","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44515",,,,,,,"86000US44515",,"ZCTA5 44515",654,"ZCTA5 44515",39
"G44601","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44601",,,,,,,"86000US44601",,"ZCTA5 44601",664,"ZCTA5 44601",24
"G44606","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44606",,,,,,,"86000US44606",,"ZCTA5 44606",735,"ZCTA5 44606",78
"G44607","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44607",,,,,,,"86000US44607",,"ZCTA5 44607",856,"ZCTA5 44607",380
"G44608","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44608",,,,,,,"86000US44608",,"ZCTA5 44608",648,"ZCTA5 44608",71
"G44609","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44609",,,,,,,"86000US44609",,"ZCTA5 44609",667,"ZCTA5 44609",137
"G44610","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44610",,,,,,,"86000US44610",,"ZCTA5 44610",.,"ZCTA5 44610",.
"G44611","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44611",,,,,,,"86000US44611",,"ZCTA5 44611",772,"ZCTA5 44611",166
"G44612","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44612",,,,,,,"86000US44612",,"ZCTA5 44612",835,"ZCTA5 44612",63
"G44613","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44613",,,,,,,"86000US44613",,"ZCTA5 44613",686,"ZCTA5 44613",52
"G44614","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44614",,,,,,,"86000US44614",,"ZCTA5 44614",939,"ZCTA5 44614",57
"G44615","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44615",,,,,,,"86000US44615",,"ZCTA5 44615",645,"ZCTA5 44615",59
"G44618","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44618",,,,,,,"86000US44618",,"ZCTA5 44618",675,"ZCTA5 44618",43
"G44620","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44620",,,,,,,"86000US44620",,"ZCTA5 44620",771,"ZCTA5 44620",215
"G44621","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44621",,,,,,,"86000US44621",,"ZCTA5 44621",606,"ZCTA5 44621",50
"G44622","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44622",,,,,,,"86000US44622",,"ZCTA5 44622",770,"ZCTA5 44622",47
"G44624","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44624",,,,,,,"86000US44624",,"ZCTA5 44624",662,"ZCTA5 44624",114
"G44625","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44625",,,,,,,"86000US44625",,"ZCTA5 44625",778,"ZCTA5 44625",43
"G44626","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44626",,,,,,,"86000US44626",,"ZCTA5 44626",847,"ZCTA5 44626",67
"G44627","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44627",,,,,,,"86000US44627",,"ZCTA5 44627",639,"ZCTA5 44627",122
"G44628","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44628",,,,,,,"86000US44628",,"ZCTA5 44628",679,"ZCTA5 44628",112
"G44629","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44629",,,,,,,"86000US44629",,"ZCTA5 44629",668,"ZCTA5 44629",63
"G44632","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44632",,,,,,,"86000US44632",,"ZCTA5 44632",870,"ZCTA5 44632",56
"G44633","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44633",,,,,,,"86000US44633",,"ZCTA5 44633",819,"ZCTA5 44633",160
"G44634","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44634",,,,,,,"86000US44634",,"ZCTA5 44634",788,"ZCTA5 44634",201
"G44637","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44637",,,,,,,"86000US44637",,"ZCTA5 44637",648,"ZCTA5 44637",99
"G44638","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44638",,,,,,,"86000US44638",,"ZCTA5 44638",782,"ZCTA5 44638",44
"G44640","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44640",,,,,,,"86000US44640",,"ZCTA5 44640",647,"ZCTA5 44640",137
"G44641","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44641",,,,,,,"86000US44641",,"ZCTA5 44641",783,"ZCTA5 44641",39
"G44643","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44643",,,,,,,"86000US44643",,"ZCTA5 44643",793,"ZCTA5 44643",158
"G44644","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44644",,,,,,,"86000US44644",,"ZCTA5 44644",771,"ZCTA5 44644",123
"G44645","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44645",,,,,,,"86000US44645",,"ZCTA5 44645",891,"ZCTA5 44645",76
"G44646","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44646",,,,,,,"86000US44646",,"ZCTA5 44646",764,"ZCTA5 44646",18
"G44647","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44647",,,,,,,"86000US44647",,"ZCTA5 44647",751,"ZCTA5 44647",45
"G44651","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44651",,,,,,,"86000US44651",,"ZCTA5 44651",581,"ZCTA5 44651",270
"G44652","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44652",,,,,,,"86000US44652",,"ZCTA5 44652",.,"ZCTA5 44652",.
"G44653","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44653",,,,,,,"86000US44653",,"ZCTA5 44653",700,"ZCTA5 44653",134
"G44654","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44654",,,,,,,"86000US44654",,"ZCTA5 44654",656,"ZCTA5 44654",63
"G44656","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44656",,,,,,,"86000US44656",,"ZCTA5 44656",656,"ZCTA5 44656",73
"G44657","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44657",,,,,,,"86000US44657",,"ZCTA5 44657",754,"ZCTA5 44657",61
"G44659","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44659",,,,,,,"86000US44659",,"ZCTA5 44659",519,"ZCTA5 44659",248
"G44661","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44661",,,,,,,"86000US44661",,"ZCTA5 44661",642,"ZCTA5 44661",200
"G44662","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44662",,,,,,,"86000US44662",,"ZCTA5 44662",699,"ZCTA5 44662",55
"G44663","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44663",,,,,,,"86000US44663",,"ZCTA5 44663",704,"ZCTA5 44663",24
"G44666","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44666",,,,,,,"86000US44666",,"ZCTA5 44666",957,"ZCTA5 44666",87
"G44667","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44667",,,,,,,"86000US44667",,"ZCTA5 44667",736,"ZCTA5 44667",28
"G44669","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44669",,,,,,,"86000US44669",,"ZCTA5 44669",669,"ZCTA5 44669",201
"G44670","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44670",,,,,,,"86000US44670",,"ZCTA5 44670",841,"ZCTA5 44670",105
"G44671","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44671",,,,,,,"86000US44671",,"ZCTA5 44671",.,"ZCTA5 44671",.
"G44672","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44672",,,,,,,"86000US44672",,"ZCTA5 44672",673,"ZCTA5 44672",70
"G44675","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44675",,,,,,,"86000US44675",,"ZCTA5 44675",723,"ZCTA5 44675",268
"G44676","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44676",,,,,,,"86000US44676",,"ZCTA5 44676",823,"ZCTA5 44676",59
"G44677","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44677",,,,,,,"86000US44677",,"ZCTA5 44677",796,"ZCTA5 44677",84
"G44678","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44678",,,,,,,"86000US44678",,"ZCTA5 44678",.,"ZCTA5 44678",.
"G44680","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44680",,,,,,,"86000US44680",,"ZCTA5 44680",774,"ZCTA5 44680",72
"G44681","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44681",,,,,,,"86000US44681",,"ZCTA5 44681",687,"ZCTA5 44681",49
"G44682","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44682",,,,,,,"86000US44682",,"ZCTA5 44682",731,"ZCTA5 44682",172
"G44683","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44683",,,,,,,"86000US44683",,"ZCTA5 44683",604,"ZCTA5 44683",42
"G44685","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44685",,,,,,,"86000US44685",,"ZCTA5 44685",1012,"ZCTA5 44685",60
"G44687","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44687",,,,,,,"86000US44687",,"ZCTA5 44687",.,"ZCTA5 44687",.
"G44688","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44688",,,,,,,"86000US44688",,"ZCTA5 44688",712,"ZCTA5 44688",96
"G44689","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44689",,,,,,,"86000US44689",,"ZCTA5 44689",719,"ZCTA5 44689",127
"G44690","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44690",,,,,,,"86000US44690",,"ZCTA5 44690",.,"ZCTA5 44690",.
"G44691","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44691",,,,,,,"86000US44691",,"ZCTA5 44691",738,"ZCTA5 44691",17
"G44693","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44693",,,,,,,"86000US44693",,"ZCTA5 44693",390,"ZCTA5 44693",320
"G44695","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44695",,,,,,,"86000US44695",,"ZCTA5 44695",627,"ZCTA5 44695",113
"G44697","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44697",,,,,,,"86000US44697",,"ZCTA5 44697",950,"ZCTA5 44697",609
"G44699","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44699",,,,,,,"86000US44699",,"ZCTA5 44699",519,"ZCTA5 44699",69
"G44702","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44702",,,,,,,"86000US44702",,"ZCTA5 44702",289,"ZCTA5 44702",90
"G44703","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44703",,,,,,,"86000US44703",,"ZCTA5 44703",648,"ZCTA5 44703",40
"G44704","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44704",,,,,,,"86000US44704",,"ZCTA5 44704",496,"ZCTA5 44704",49
"G44705","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44705",,,,,,,"86000US44705",,"ZCTA5 44705",625,"ZCTA5 44705",25
"G44706","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44706",,,,,,,"86000US44706",,"ZCTA5 44706",715,"ZCTA5 44706",29
"G44707","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44707",,,,,,,"86000US44707",,"ZCTA5 44707",505,"ZCTA5 44707",45
"G44708","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44708",,,,,,,"86000US44708",,"ZCTA5 44708",826,"ZCTA5 44708",27
"G44709","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44709",,,,,,,"86000US44709",,"ZCTA5 44709",743,"ZCTA5 44709",31
"G44710","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44710",,,,,,,"86000US44710",,"ZCTA5 44710",715,"ZCTA5 44710",40
"G44714","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44714",,,,,,,"86000US44714",,"ZCTA5 44714",723,"ZCTA5 44714",43
"G44718","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44718",,,,,,,"86000US44718",,"ZCTA5 44718",853,"ZCTA5 44718",33
"G44720","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44720",,,,,,,"86000US44720",,"ZCTA5 44720",867,"ZCTA5 44720",28
"G44721","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44721",,,,,,,"86000US44721",,"ZCTA5 44721",943,"ZCTA5 44721",59
"G44730","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44730",,,,,,,"86000US44730",,"ZCTA5 44730",771,"ZCTA5 44730",65
"G44802","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44802",,,,,,,"86000US44802",,"ZCTA5 44802",826,"ZCTA5 44802",293
"G44804","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44804",,,,,,,"86000US44804",,"ZCTA5 44804",794,"ZCTA5 44804",74
"G44805","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44805",,,,,,,"86000US44805",,"ZCTA5 44805",709,"ZCTA5 44805",29
"G44807","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44807",,,,,,,"86000US44807",,"ZCTA5 44807",741,"ZCTA5 44807",77
"G44809","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44809",,,,,,,"86000US44809",,"ZCTA5 44809",763,"ZCTA5 44809",245
"G44811","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44811",,,,,,,"86000US44811",,"ZCTA5 44811",737,"ZCTA5 44811",49
"G44813","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44813",,,,,,,"86000US44813",,"ZCTA5 44813",722,"ZCTA5 44813",64
"G44814","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44814",,,,,,,"86000US44814",,"ZCTA5 44814",1126,"ZCTA5 44814",116
"G44815","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44815",,,,,,,"86000US44815",,"ZCTA5 44815",690,"ZCTA5 44815",99
"G44816","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44816",,,,,,,"86000US44816",,"ZCTA5 44816",.,"ZCTA5 44816",.
"G44817","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44817",,,,,,,"86000US44817",,"ZCTA5 44817",857,"ZCTA5 44817",162
"G44818","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44818",,,,,,,"86000US44818",,"ZCTA5 44818",666,"ZCTA5 44818",89
"G44820","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44820",,,,,,,"86000US44820",,"ZCTA5 44820",630,"ZCTA5 44820",19
"G44822","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44822",,,,,,,"86000US44822",,"ZCTA5 44822",794,"ZCTA5 44822",86
"G44824","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44824",,,,,,,"86000US44824",,"ZCTA5 44824",942,"ZCTA5 44824",90
"G44825","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44825",,,,,,,"86000US44825",,"ZCTA5 44825",638,"ZCTA5 44825",312
"G44826","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44826",,,,,,,"86000US44826",,"ZCTA5 44826",646,"ZCTA5 44826",307
"G44827","2012-2016","US",,,,,,,,,,,,,,,,,,,,,,,,,"44827",,,,,,,"86000US44827",,"ZCTA5 44827",568,"ZCTA5 44827",51
