scraped_city,facility,operator,street,zip_code,city_in_desc
Chicago,Prime Chicago Data Center Campus,Prime Data Centers,1701 Midway Ct,60007,Elk Grove Village
Chicago,Prime Chicago - Building 1,Prime Data Centers,"1500 E Higgins Rd, Elk Grove Village, IL 60007, USA",60007,Elk Grove Village
Chicago,Prime Chicago - Building 3,Prime Data Centers,1701 Midway Court,60007,Elk Grove Village
Chicago,Summit Chicago,Summit (formerly Deft),350 East Cermak Road,60616,Chicago
Chicago,Colocation America CHIDC1,Colocation America,350 E. Cermak Rd,60616,Chicago
Chicago,Iron Mountain Data Centers CHI-1,Iron Mountain Data Centers,1680 Touhy Avenue,60018,Des Plaines
Chicago,CyrusOne CHI1 - Aurora,CyrusOne Data Centers,2905 Diehl Rd.,60148,Lombard
Chicago,Legacy - Chicago Byte Exchange,Legacy Investing,400 S LaSalle St,60605,Chicago
Chicago,Prime Chicago - Building 2,Prime Data Centers,1600 Oakton St,60007,Elk Grove Village
Chicago,Apotech Data Center,Apotech,1331 E Business Center Dr,60056,Mt Prospect
Chicago,TierPoint Chicago - Polk,TierPoint,601 W. Polk St.,60607,Chicago
Chicago,Element Critical Chicago One,Element Critical,711 N. Edgewood Ave.,60191,Wood Dale
Chicago,Skybox Chicago I,Skybox Datacenters,800 E Devon Ave,60007,Elk Grove Village
Chicago,DataBank ORD3 - Mount Prospect,DataBank,800 E Business Center Dr,60056,Mt. Prospect
Chicago,DataBank ORD4 - Chicago Tri-State,DataBank,1808 Swift Dr,60523,Oak Brook
Chicago,Cogent Data Center - Chicago 2,"Cogent Communications, Inc.",216 W. Jackson Blvd,60606,Chicago
Chicago,Cogent Data Center - Chicago 1,"Cogent Communications, Inc.",427 LaSalle St,60606,Chicago
Chicago,Element Critical Chicago Two,Element Critical,341 Haynes Dr,60191,Wood Dale
Chicago,Colocation America CHIDC4,Colocation America,1808 Swift Dr.,60523,Oak Brook
Chicago,TierPoint Chicago - West,TierPoint,9333 West Grand Ave.,60131,Franklin Park
Chicago,Equinix CH4,Equinix,350 E Cermak Rd,60616,Chicago
Chicago,Equinix CH7,Equinix,111 Plaza Drive,60559,Westmont
Chicago,STACK Infrastructure CHI01B,STACK INFRASTRUCTURE,1301 Touhy Ave,60007,Elk Grove Village
Chicago,US Signal Chicago IL01,"US Signal Company, LLC",810 Jorie Blvd,60523,Oak Brook
Chicago,Metro Edge IMD1,Metro Edge,1951 W Hastings St,60608,Chicago
Chicago,DataBank ORD2 - Chicago,DataBank,840 S Canal St,60607,Chicago
Chicago,DataBank ORD1 - Downtown Chicago,DataBank,600 S Federal St,60605,Chicago
Chicago,EdgeConneX Chicago - EDCCHI02,EdgeConneX,2021 Lunt Ave,60007,Elk Grove Village
Chicago,Stream DC Chicago I,Stream Data Centers,2080 Lunt Avenue,60007,Elk Grove Village
Chicago,HydraVault Data Center,HydraVault,2538 S Wabash Ave,60616,Chicago
Chicago,Centersquare - Chicago ORD1-A,Csquare,350 East Cermak,60616,Chicago
Chicago,SBA Edge Chicago,SBA Edge,603 Discovery Drive,60185,West Chicago
Chicago,Centersquare - Chicago ORD1-D,Csquare,350 E Cermak Rd,60616,Chicago
Chicago,CoreSite Chicago (CH1),CoreSite,427 South LaSalle,60605,Chicago
Chicago,Centersquare - Chicago ORD1-C,Csquare,350 E Cermak Rd,60616,Chicago
Chicago,FirstComm Data Center,First Communications,601 W Polk St,60607,Chicago
Chicago,ColoCrossing CH1,ColoCrossing,2200 Busse Road,60007,Elk Grove Village
Chicago,H5 Data Centers Chicago,H5 Data Centers,1951 W. Hastings St.,60608,Chicago
Chicago,Stream DC Chicago II,Stream Data Centers,1925 Busse Road,60007,Elk Grove Village
Chicago,725 S. Wells,1547 Critical Systems Realty,725 S Wells,60607,Chicago
Chicago,CDW Elk Grove Data Center,CDW Corporation,1441 Touhy Ave,60007,Elk Grove Village
Chicago,STACK Infrastructure CHI01A,STACK INFRASTRUCTURE,1441 Touhy Ave,60007,Elk Grove Village
Chicago,Digital Fortress Chicago,Digital Fortress,360 E 22nd St.,60148,Lombard
Chicago,Equinix CH1,Equinix,350 E Cermak Rd,60616,Chicago
Chicago,Equinix CH2,Equinix,350 E Cermak Rd,60616,Chicago
Chicago,GDC - Chicago CH3 Data 'Center,"NTT DATA, Inc.",255 Pierce Rd,60143,Itasca
Chicago,GDC - Chicago CH2 Data Center,"NTT DATA, Inc.",275 Pierce Rd,60143,Itasca
Chicago,Cogent Data Center - Chicago 3,"Cogent Communications, Inc.",4200 W 40th St,60632,Chicago
Chicago,QTS Chicago 1 DC1,QTS Data Centers,2800 S. Ashland Ave,60608,Chicago
Chicago,365 Data Centers - Chicago 1,365 Data Centers,427 S La Salle St,60605,Chicago
Chicago,Aligned ORD-01,Aligned Data Centers,505 Northwest Avenue,60164,Northlake
Chicago,Microsoft Northlake,Microsoft,601-605 Northwest Ave,60164,Northlake
Chicago,Centersquare - Chicago ORD2-A,Csquare,2425 Busse Road,60007,Elk Grove Village
Chicago,CoreWeave Hammond,CoreWeave,301 Digital Xrds Dr,46320,Hammond
Chicago,CyrusOne CHI6 - Wood Dale,CyrusOne Data Centers,Bryn Mawr Ave & Pine Ave,60106,Wood Dale
Chicago,CloudHQ ORD Campus,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Chicago,Ascent CH2,Ascent,505 N Railroad Ave,60164,Northlake
Chicago,Equinix CH3,Equinix,1905 Lunt Avenue,60007,Elk Grove Village
Chicago,CoreSite Chicago (CH2),CoreSite,1432 S Clinton St.,60607,Chicago
Chicago,STACK Infrastructure CHI02,STACK INFRASTRUCTURE,1830 Jarvis Ave,60007,Elk Grove Village
Chicago,Rackspace Chicago,Rackspace Hosting,2200 Busse Road,60007,Elk Grove Village
Chicago,Chirisa Chirisa Volo Technology Park YLO-02,Chirisa,300 South Fish Lake Rd,60073,Volo
Chicago,Chirisa Chirisa Volo Technology Park YLO-01,Chirisa,300 South Fish Lake Rd,60073,Volo
Chicago,Chicago Board of Trade Building,"Apollo Global Management, Inc.",141 West Jackson,60604,Chicago
Chicago,1808 Swift Drive,CenterPoint Properties,1808 Swift Drive,60523,Oak Brook
Chicago,360TCS Data Center,360 Technology Center Solutions,360 E. 22nd St.,60148,Lombard
Chicago,Centersquare - Chicago ORD1-B,Csquare,350 East Cermak,60609,Chicago
Chicago,XNet Critical Computing Facility,"XNet Information Systems, Inc.",3080 Ogden Ave,60532,Lisle
Chicago,NetSource Naperville 1,"NetSource Communications, Inc.",2368 Corporate Lane,60563,Naperville
Chicago,Midway Technology Center,1547 Critical Systems Realty,40 E Garfield Blvd,60615,Chicago
Chicago,Aligned ORD-04,Aligned Data Centers,150 NW Point Blvd,60007,Elk Grove Village
Chicago,CloudHQ ORD3,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Chicago,Naperville Data Center,KARIS Critical,1940 Lucent Ln,60563,Naperville
Chicago,Aligned ORD-03,Aligned Data Centers,50 NW Point Blvd,60007,Elk Grove Village
Chicago,CloudHQ ORD1,CloudHQ,1200 E Algonquin Rd,60016,Des Plaines
Chicago,Microsoft Hoffman Estates - Building 2,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Chicago,Microsoft Hoffman Estates - Building 1,Microsoft,Lakewood Blvd,60192,Hoffman Estates
Chicago,Microsoft Elk Grove Campus,Microsoft,"Elk Grove Technology Park, Innovation Dr & Oakton St",60007,Elk Grove Village
Chicago,Microsoft Hoffman Estates Campus,Microsoft,Lakewood Blvd,60192,Hoffman Estates
