RegionID,SizeRank,ZipCode,RegionType,StateName,State,City,Metro,CountyName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
84616,208,60614,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,358306.4005126499,402564.310243571,432646.900926531,455155.56921167526,473345.45875857497,503464.4129359559,533327.0643715902,537849.3613220035,518745.4550624595,480563.0192313318,465757.45940807555,437816.1520721449,417545.0718037701,445530.11483328586,484102.1679445968,500233.44722806156,510819.0315821238,519214.72422294266,525115.6722781017,517039.11955290806,513313.6795924578,533455.1297593347,554302.8894984797,547942.9686305873,568065.7301394938,588384.5701385256
84622,211,60620,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,64583.06933551337,69703.3704168501,75927.8225294275,81981.90286556935,90409.63041395776,101097.1370674396,112244.5057833026,116506.56207538059,116787.62500515142,100892.40900087742,95063.42010482824,84831.94975664491,73424.99939012223,70649.42802727221,78336.3595576714,80467.06135853143,91644.02498319162,101623.59379742516,119199.89755809058,124478.7775856821,133681.48036509726,161732.2819083505,171479.38942335383,158068.14570456708,163137.02866288307,167952.58954388183
84641,232,60641,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,152141.1482702661,177249.05250841333,199498.5370695629,219036.61904048885,240606.5344363138,271179.7495435402,298746.3168760095,301062.5185680852,270558.2701789721,221211.72478524141,196805.3880222014,173269.98729299268,161489.91243130542,176818.84447788633,209005.6887425666,223949.796229078,240467.54289442068,257157.64600131605,276379.60296987364,280283.43925951025,288503.54830054834,318006.01222164364,330914.8847949485,334396.61915590736,355171.8031890087,372704.2972494844
84640,241,60640,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,147330.487422162,174894.62127490467,194111.04286363066,207882.08744830824,221612.98955571026,239148.3697885664,254840.97026381793,256449.95728043743,243705.14494013868,220469.92216765275,212671.4083538891,192262.74686236834,177425.84349650156,197414.9114853094,225443.2536560561,234587.13481833666,240897.38612962243,251722.990192585,261670.99758945694,258083.86860926426,261239.00308640883,274367.6607017633,287310.1806596994,294606.42903620406,311831.0976073823,329712.7045164225
84629,296,60628,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,59133.06141205463,62415.89496238957,66332.34875177474,71551.23471212825,78184.07509945698,87332.80660753378,95540.58413663458,100240.67326053289,96943.1258159143,85433.35825086216,76058.10595721343,62986.71251276802,52110.620189033565,47787.788954213225,54611.53399459313,58126.436795303925,67339.55802100431,77373.0816237125,93617.05893215873,101133.15945979465,112936.46584140783,137475.6757255219,150977.60383287666,138133.0628444754,141296.11277620206,141752.24391948682
84611,307,60609,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,112242.89112839966,125554.83845073891,135406.08472436943,152821.75074334533,175041.68383393853,196201.36628529718,219390.3194530704,226387.08312207158,217887.83314581192,182056.93674676726,144318.98686039375,119976.23627092817,110070.46811938808,112607.35429300809,128919.97687254408,142388.46136723392,160532.77611362594,167791.367183238,187114.70905346473,194498.29235995133,208500.4689510349,229449.12555375285,235587.2756115521,230119.52833884617,240994.0658513139,236407.29768862124
84460,354,60402,zip,IL,IL,Berwyn,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,118248.93346569124,131770.15903389276,146230.98329488657,164695.56269931552,179642.0624194925,197958.727717488,212597.90429033374,213347.94211981274,197269.78691030623,160663.53634265767,141041.91939049517,123604.99624133976,111805.29168971493,117098.373173661,136378.75353811632,151012.82059471792,166578.91701174743,181527.69815122557,194051.86425502633,202041.55564614382,211562.25454605892,238313.20327616684,255225.4929450165,256032.9383567695,273115.4454287447,284788.4082517098
84648,357,60651,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,81874.57070726067,90976.04981748525,100810.5299964114,107009.61426941708,120728.2011517895,138328.88977247276,160790.69228665525,170577.95361895408,161596.4244367887,108892.74218934351,92223.5961552476,82718.6886952265,71352.12972188751,74093.01230065919,90284.91009199539,108108.94823194658,129815.39810082642,145631.8668468228,168566.30180501708,182537.0600271294,199145.35448890147,228452.0528320299,235079.34179703367,224298.89859333824,241589.01128325507,252887.58622994332
84621,387,60619,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,64970.58505716174,70676.72771305124,76693.45268509432,82218.56108165323,90433.33956179995,101734.10103408457,113081.71453117633,121798.33223448093,118782.31803368575,100129.91581022105,90600.17662604725,84536.28098343832,75569.05602295404,71380.03788675148,79584.28734998846,84554.10232559481,94589.92829122434,108750.05695945541,123421.55002299351,131527.92213630807,140181.60197905792,166324.37408591094,171817.73553945168,153563.95915857,155852.795695445,159549.35684009932
84638,402,60638,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,125077.54746984142,138593.76564806767,151884.09660790826,170589.48406936481,194002.4863788525,217122.3380380109,234478.8208118726,236489.37493181575,218046.99336070416,188901.32485455784,173877.47459711527,153725.79415845417,139406.86956580708,147010.05683741716,162165.24543128035,173335.64904061626,184520.55087783549,198026.42167841215,208216.08479523964,215758.90630014174,228351.116372798,257294.76481776868,273557.5728483472,273296.3824647935,290623.71129798406,299314.16282546386
84504,501,60453,zip,IL,IL,Oak Lawn,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,127187.50643784467,135642.46625903124,147869.74717406224,160517.36629594793,175942.71005797025,199168.34791073206,216827.10151633623,216359.67119371498,201470.21110514647,174628.68047674975,165009.97138193267,149830.50279437366,133053.72072535666,135123.82433803342,148095.754295364,153602.5041781281,160607.35275064126,170845.4178257885,180016.0555018345,185768.18180197166,193021.68199258498,220280.80660225765,243452.62882374658,247363.14804586742,261812.35160940993,269332.1994799602
84631,623,60630,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,157772.24054492492,182268.5765002759,200104.0975402541,218709.25079848574,239278.85717541366,270548.9371352337,296391.2130137536,292949.0768657515,266866.1702126474,222663.8478519039,204992.95388696468,188309.50526633707,179831.45680507642,196420.320902118,225219.03204351864,239319.51115703533,251470.99710517793,265546.72739297873,278510.05870421533,282027.42328672664,291641.99608799606,316752.6436226072,330894.3456642182,333801.68950311973,355907.1922526927,375693.86553336075
84624,717,60622,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,286818.0721059544,323871.38163305476,349424.8111454641,371176.07538092934,393794.1597990119,429384.94329235354,461859.89719355776,467930.6732069121,456371.8892841292,423424.132206016,410055.2829272821,384561.0979420419,367998.73493892764,404621.0626422204,454429.90936617326,482920.20530744124,510271.57200044306,530216.0604656542,541853.513883052,536225.5656377014,533761.2683396615,564023.6214375454,574757.4408675735,560274.1779383657,570262.9244908992,579612.7748941011
