ZCTA5A,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020,2017-2021,2018-2022,2019-2023,2020-2024
52031,3.81240830014672,3.810002183882944,3.716630669546437,3.7437307523097223,3.675330812854442,3.631435079726652,3.689158794421952,3.885948477751756,3.839346494213751,3.877574111789998,3.993105087969567,3.955627705627706,3.961596223986269,3.9306193915517618
52064,3.6191155492154063,3.654008438818565,3.763812154696133,3.7735099337748346,3.5910735826296745,3.653225806451613,3.777633289986996,3.869451697127938,3.804878048780488,4.038216560509555,3.871987951807229,3.841704718417047,3.915514592933948,4.030487804878049
52070,3.6270853778213934,3.98155737704918,3.9704329461457233,3.80641925777332,3.6666666666666665,3.528347406513872,3.2749054224464063,3.272833723653396,3.167741935483871,3.212089077412513,3.507858546168958,3.751893939393939,3.887830687830688,4.26528384279476
52732,3.680432769217816,3.7414292812189465,3.762617054777493,3.760316212077315,3.656667368864546,3.660349916584677,3.707743761255467,3.8407389780642927,3.912917398945519,3.864421416234888,4.031787719616012,4.180991440798858,4.206338769068911,4.227975438749293
53104,4.669273513068533,4.514532434709351,4.434728033472803,4.379449152542373,4.168917423068408,4.234202294056309,4.314803116445567,4.544703067217751,4.580735325736401,4.429127052722558,4.348832528180354,4.269595709570957,4.246122860020141,4.36989333869994
53105,4.481909673126507,4.42054855931858,4.45644887656722,4.468229187786384,4.341780184448769,4.320862824401752,4.426833319491736,4.440536979080877,4.425216015577462,4.409753784136268,4.437052877138414,4.437485582468281,4.41452180980764,4.430732639295044
53128,4.870146008077042,4.78220906683284,4.769592016436748,4.665723223596007,4.552345448897173,4.56166692201624,4.6054221533694815,4.675679875679876,4.709570435881238,4.682148939464313,4.719343696027634,4.788583198469913,4.728721848493712,4.7791402192729375
53139,4.269214790195264,4.356435643564357,4.432026688907423,4.378656777915122,4.281484405842874,4.205331112036651,4.120802442215438,3.9919928825622777,4.111577964519141,4.349391955098223,4.355083459787557,4.343290891283056,4.485918641037103,4.519771528998243
53140,4.207987444761079,4.3000081612666285,4.3402417261518496,4.26410045286126,4.1887186338775,4.170602149645184,4.233363175171591,4.242118537200504,4.337281537314669,4.297670053454115,4.436135498407272,4.497760444821994,4.575434064055317,4.590779906248846
53142,4.646773752296088,4.668520449542347,4.627924175781402,4.635707074629184,4.504846918167865,4.499980142181977,4.49868940964751,4.575192307692308,4.604961687277141,4.517361996720714,4.58209453197405,4.622051208285385,4.608776266996292,4.578562404415187
53143,4.4976008724100325,4.50309184773359,4.496576879910213,4.466711918094915,4.3861878141058215,4.317156189953336,4.332076090521483,4.3530041105918125,4.357418057959685,4.390481751824818,4.441835031370517,4.590588372499854,4.604493454416795,4.56674062828448
53144,4.432805873500843,4.391467373908272,4.366328916601715,4.429267606953751,4.387812303677572,4.413992297817715,4.45112011323149,4.478944029668668,4.535116403924057,4.506336461255684,4.575541632789708,4.713472307185544,4.680628988149499,4.645254117230388
53147,4.438732019179541,4.436802610114192,4.4135103475205,4.369071179963147,4.084589312756905,4.121606334841629,4.113493759911743,4.213692098092643,4.244793377570462,4.293745928338762,4.347133366141732,4.329895705878926,4.357361697207931,4.405459610027855
53158,4.655264187866927,4.689641497461929,4.640263770364624,4.688659327401599,4.512040263259776,4.506611947104423,4.527683778529772,4.471603109959275,4.480797206866454,4.509749909387459,4.549213704015726,4.553031825795645,4.570918468557826,4.53877960155369
53168,4.75334162262978,4.777661483253588,4.81793762125056,4.833665055444982,4.712584301908452,4.696215139442231,4.6076825307160005,4.571952078928823,4.510282423910063,4.477275756364121,4.528526148969889,4.592793246818697,4.626035356657189,4.568925939350006
53170,4.363582793164408,4.342089900758903,4.421809466746555,4.451793721973094,4.387800783435926,4.48454130765332,4.638689866939611,4.651437371663245,4.594850236468734,4.709384460141272,4.800221361372441,4.725633802816901,4.615294804436661,4.550207961972668
53177,4.552957125910862,4.516612710853638,4.509915502672874,4.610178476762679,4.564665336477417,4.623657975460123,4.657478868063212,4.566784980384831,4.473313000381243,4.32112355285633,4.3205716302046575,4.301185344827586,4.359273422562142,4.204790003471017
53179,4.745192307692308,4.691036002939016,4.75715676728335,4.679367653019862,4.519000203210729,4.486933971673649,4.650604798730914,4.727222119131564,4.755631270111679,4.620209689081706,4.7424791591156215,4.537462181882898,4.61239092495637,4.58997475658132
53181,4.618217054263566,4.700664136622391,4.707498758483695,4.661754855994642,4.484201388888889,4.528655783258076,4.603048024100656,4.693070972082072,4.773130332942948,4.757925568573397,4.744441193680515,4.756127450980392,4.723773486430063,4.59117349519474
53182,4.441045526353583,4.4643619291506615,4.473862195293786,4.438096555540185,4.2533788590126616,4.323205574912892,4.420918727915194,4.4496625809117205,4.4239852920379015,4.456849116710107,4.335861163774245,4.3093610698365525,4.313090804926955,4.328143873305597
53184,4.540988939492518,4.509000620732464,4.498483929654336,4.4733997155049785,4.29299175500589,4.363151658767772,4.3503948522959925,4.401517450682853,4.41574074074074,4.42719903932753,4.507881462799496,4.558441558441558,4.436224489795919,4.385578979529484
53192,4.22093023255814,4.124463519313305,4.05,3.184,2.109375,2.0930232558139537,1.5,2.0,,4.0,4.0,4.682291666666667,4.694736842105264,4.891891891891892
53403,4.083373138217031,4.169576623846571,4.21709578682031,4.194530537830446,4.105304940693005,4.132730231667624,4.176208285385501,4.185911265359723,4.27178558156819,4.354252254804741,4.44011919402138,4.533302919708029,4.429746338307998,4.451113726515845
53511,4.149660043219312,4.13474431444722,4.118698763825634,4.067606866201714,3.9965666360896335,4.006421850017038,4.058028700115219,4.0933319559940085,4.152112383474852,4.181030319291655,4.234211446869198,4.368394710499974,4.387372380440623,4.415215157184643
53520,4.28558069945764,4.331011109019017,4.302390735898394,4.220667384284177,4.094150417827298,4.080819578827547,4.110202564579074,4.131378935939196,4.116801768607222,4.088040446304045,4.215872477530948,4.250041562759767,4.328038999842742,4.344428128569097
53522,4.101063829787234,4.106203995793901,4.097536945812808,4.154088050314465,3.943287037037037,3.9644839067702553,4.013230429988974,3.863636363636364,3.862676056338028,3.9553903345724906,3.905562742561449,4.043256997455471,4.191176470588236,4.31203007518797
53525,4.335129993658846,4.316183653533051,4.307412309728656,4.413566019097794,4.207198443579767,4.208183306055647,4.266428106701366,4.270375161707633,4.294233937397035,4.293430195830701,4.372295673076923,4.474480712166172,4.486578129415089,4.462140992167102
53550,4.380493033226152,4.4570230607966455,4.303514376996805,4.367117117117117,4.343300110741971,4.241299303944316,4.314285714285714,4.34916864608076,4.232739420935412,4.4038054968287526,4.34739178690344,4.333710407239819,4.349322210636079,4.297938144329897
53566,3.951125306395306,3.999024243788937,4.024542682926829,3.994006524542903,3.9175021045381495,3.9219553372726574,3.974739071244895,3.979249381976178,4.020475760313159,3.955860534124629,4.052482902170681,4.153538643766657,4.291026978685348,4.343240720798335
53585,4.534967124925284,4.449970743124634,4.348511383537653,4.34023503077784,4.06814404432133,4.163716814159292,4.312396694214876,4.351136363636364,4.3275762809441565,4.453551912568306,4.607289829512052,4.696520250998288,4.715109573241061,4.684931506849315
53587,4.111867704280155,4.033881897386253,3.9345887016848367,3.9564315352697097,3.858350951374207,3.8078470824949697,3.791543756145526,3.802348336594912,3.736740597878496,3.708103130755065,3.934224049331963,4.091185410334346,4.190428713858425,4.261375661375661
60002,4.5280148776882365,4.513636363636364,4.565671222617487,4.608762814211487,4.3604651162790695,4.387090357551346,4.411459631975266,4.442364482706842,4.422917602435494,4.379120074222374,4.345514171937221,4.16515092879257,4.132177786385204,4.106392209795604
60004,4.651559624989048,4.674854288093256,4.689368881390548,4.710341651681944,4.276770203599472,4.229314691725877,4.241041090925565,4.229589993678316,4.242457998954237,4.299344533679336,4.286887394077051,4.140609203991033,4.039059042223599,3.979306549257017
60005,4.511639443007476,4.567797511432522,4.599136546901202,4.60544504087289,4.256491496412834,4.335309546908124,4.267231043127566,4.274652235499219,4.262039710547891,4.283171284450618,4.232948621148384,4.206653261368046,4.148643787322829,4.245405328394358
60007,4.505565125215317,4.517846731877955,4.5920760900999325,4.625826426290837,4.454190245216923,4.555675238992864,4.64394609678078,4.611690384811331,4.58918716358929,4.623777197563098,4.666584333098094,4.539878366637707,4.446316952723003,4.430614388830526
60008,4.700958838798538,4.731348062760167,4.731282552083333,4.760853253296173,4.657219898745322,4.673556027259524,4.636086980578764,4.648186326405527,4.6963808874495765,4.677710320901995,4.634660050675675,4.619183631076028,4.556438791732909,4.563398692810457
60010,4.578072930402052,4.586313296816322,4.583686698835113,4.580174927113703,3.274554385964912,3.311403992500276,3.252475786266188,3.2536909848034177,3.207771398050474,3.1557899771483235,3.0044352922540787,2.8067596363930623,2.778791924365856,2.821102791014296
60012,4.574378423935946,4.602750891492613,4.6235526966848095,4.62409007085315,3.947993894461405,3.926477121279431,3.803047277615953,3.815961278703287,3.776966556759303,3.790333115610712,3.6178274200613223,3.5689397178281315,3.482608233166685,3.4537525354969576
60013,4.673094456601021,4.67379654651216,4.654296875,4.684440888554217,4.290316205533597,4.333299666700333,4.439233359746434,4.397291645922533,4.418828189151331,4.372250818905007,4.376955903271693,4.265010255454037,4.324769973581124,4.35218114926419
